Confirmed cases(confCase),confirmation rate(confCaseRate),Date and time of registration(createDt),fatality rate(criticalRate),dead(death),deathRate(deathRate),"Categorization,gender,age(gubun)","post-number Unique value by gender, age, and Confirmed cases(seq)",Modified Date and Time Minute(updateDt)
141,1.3,5/10/2020 10:16,0,0,0,'0-9,673,null
597,5.49,5/10/2020 10:16,0,0,0,'10-19,672,null
2998,27.57,5/10/2020 10:16,0,0,0,'20-29,671,null
1180,10.85,5/10/2020 10:16,0.17,2,0.78,'30-39,670,null
1442,13.26,5/10/2020 10:16,0.21,3,1.17,'40-49,669,null
1960,18.02,5/10/2020 10:16,0.77,15,5.86,'50-59,668,null
1357,12.48,5/10/2020 10:16,2.73,37,14.45,'60-69,667,null
711,6.54,5/10/2020 10:16,10.83,77,30.08,'70-79,666,null
488,4.49,5/10/2020 10:16,25,122,47.66,over 80,665,null
141,1.3,5/9/2020 10:20,0,0,0,'0-9,651,null
594,5.48,5/9/2020 10:20,0,0,0,'10-19,650,null
2979,27.48,5/9/2020 10:20,0,0,0,'20-29,649,null
1177,10.86,5/9/2020 10:20,0.17,2,0.78,'30-39,648,null
1438,13.27,5/9/2020 10:20,0.21,3,1.17,'40-49,647,null
1958,18.06,5/9/2020 10:20,0.77,15,5.86,'50-59,646,null
1355,12.5,5/9/2020 10:20,2.73,37,14.45,'60-69,645,null
710,6.55,5/9/2020 10:20,10.85,77,30.08,'70-79,644,null
488,4.5,5/9/2020 10:20,25,122,47.66,over 80,643,null
141,1.3,5/8/2020 10:19,0,0,0,'0-9,629,null
592,5.47,5/8/2020 10:19,0,0,0,'10-19,628,null
2967,27.42,5/8/2020 10:19,0,0,0,'20-29,627,null
1174,10.85,5/8/2020 10:19,0.17,2,0.78,'30-39,626,null
1438,13.29,5/8/2020 10:19,0.21,3,1.17,'40-49,625,null
1957,18.08,5/8/2020 10:19,0.77,15,5.86,'50-59,624,null
1355,12.52,5/8/2020 10:19,2.73,37,14.45,'60-69,623,null
710,6.56,5/8/2020 10:19,10.85,77,30.08,'70-79,622,null
488,4.51,5/8/2020 10:19,25,122,47.66,over 80,621,null
140,1.3,5/7/2020 10:48,0,0,0,'0-9,607,null
592,5.48,5/7/2020 10:48,0,0,0,'10-19,606,null
2966,27.44,5/7/2020 10:48,0,0,0,'20-29,605,null
1167,10.8,5/7/2020 10:48,0.17,2,0.78,'30-39,604,null
1436,13.28,5/7/2020 10:48,0.21,3,1.17,'40-49,603,null
1957,18.1,5/7/2020 10:48,0.77,15,5.86,'50-59,602,null
1354,12.53,5/7/2020 10:48,2.73,37,14.45,'60-69,601,null
710,6.57,5/7/2020 10:48,10.85,77,30.08,'70-79,600,null
488,4.51,5/7/2020 10:48,25,122,47.66,over 80,599,null
140,1.3,5/6/2020 10:17,0,0,0,'0-9,585,null
591,5.47,5/6/2020 10:17,0,0,0,'10-19,584,null
2964,27.43,5/6/2020 10:17,0,0,0,'20-29,583,null
1166,10.79,5/6/2020 10:17,0.17,2,0.78,'30-39,582,null
1436,13.29,5/6/2020 10:17,0.21,3,1.18,'40-49,581,null
1957,18.11,5/6/2020 10:17,0.77,15,5.88,'50-59,580,null
1354,12.53,5/6/2020 10:17,2.66,36,14.12,'60-69,579,null
710,6.57,5/6/2020 10:17,10.85,77,30.2,'70-79,578,null
488,4.52,5/6/2020 10:17,25,122,47.84,over 80,577,null
140,1.3,5/5/2020 10:23,0,0,0,'0-9,563,null
591,5.47,5/5/2020 10:23,0,0,0,'10-19,562,null
2964,27.43,5/5/2020 10:23,0,0,0,'20-29,561,null
