Confirmed_cases(confCase),confirmation_rate(confCaseRate),Date_and_time_of_registration(createDt),fatality rate(criticalRate),dead(death),deathRate(deathRate),"Categorization,gender,age(gubun)","post-number_Unique_value by gender, age, and Confirmed_cases(seq)",Modified_Date_and_Time_Minute(updateDt)
5738,43.33,7/8/2020 10:20,2.65,152,53.33,male ,1873,null
7478,56.73,7/7/2020 10:19,1.78,133,46.67,female ,1852,null
5703,43.27,7/7/2020 10:19,2.67,152,53.33,male ,1851,null
7455,56.75,7/6/2020 10:50,1.78,133,46.83,female ,1830,null
5682,43.25,7/6/2020 10:50,2.66,151,53.17,male ,1829,null
7434,56.79,7/5/2020 10:27,1.78,132,46.64,female ,1808,null
5657,43.21,7/5/2020 10:27,2.67,151,53.36,male ,1807,null
7405,56.83,7/4/2020 10:15,1.78,132,46.64,female ,1786,null
5625,43.17,7/4/2020 10:15,2.68,151,53.36,male ,1785,null
7380,56.91,7/3/2020 11:23,1.78,131,46.45,female ,1775,null
5587,43.09,7/3/2020 11:23,2.7,151,53.55,male ,1774,null
7349,56.95,7/2/2020 14:20,1.78,131,46.45,female ,1753,null
5555,43.05,7/2/2020 14:20,2.72,151,53.55,male ,1752,null
7305,57.07,7/1/2020 10:50,1.79,131,46.45,female ,1731,null
5495,42.93,7/1/2020 10:50,2.75,151,53.55,male ,1730,null
7305,57.07,6/30/2020 13:57,1.79,131,46.45,female ,1720,null
5495,42.93,6/30/2020 13:57,2.75,151,53.55,male ,1719,null
